Date,"Stickiness %"
2022-05-14,4.88
2022-05-15,7.32
2022-05-16,1.23
2022-05-17,7.50
2022-05-18,5.06
2022-05-19,6.10
2022-05-20,1.30
2022-05-21,5.00
2022-05-22,3.70
2022-05-23,3.70
2022-05-24,7.23
2022-05-25,6.02
2022-05-26,8.24
2022-05-27,3.61
2022-05-28,6.82
2022-05-29,3.37
2022-05-30,2.25
2022-05-31,5.75
2022-06-01,4.82
2022-06-02,7.14
2022-06-03,11.49
2022-06-04,11.49
2022-06-05,16.09
2022-06-06,14.77
2022-06-07,16.67
2022-06-08,14.29
2022-06-09,17.58
2022-06-10,16.67
2022-06-11,12.50
2022-06-12,11.63
2022-06-13,10.23
2022-06-14,9.52
2022-06-15,12.64
2022-06-16,10.71
2022-06-17,13.95
2022-06-18,14.29
2022-06-19,10.59
2022-06-20,13.95
2022-06-21,14.94
2022-06-22,14.94
2022-06-23,15.12
2022-06-24,16.09
2022-06-25,16.87
2022-06-26,10.98
2022-06-27,16.05
2022-06-28,16.05
2022-06-29,22.09
2022-06-30,22.73
2022-07-01,18.89
2022-07-02,17.02
2022-07-03,10.75
2022-07-04,9.57
2022-07-05,8.70
2022-07-06,10.31
2022-07-07,13.27
2022-07-08,11.22
2022-07-09,11.11
2022-07-10,10.53
2022-07-11,12.50
2022-07-12,13.83
2022-07-13,15.63
2022-07-14,15.15
2022-07-15,14.43
2022-07-16,15.31
2022-07-17,12.37
2022-07-18,14.58
2022-07-19,14.43
2022-07-20,16.16
2022-07-21,19.61
2022-07-22,18.45
2022-07-23,17.14
2022-07-24,10.78
2022-07-25,11.46
2022-07-26,15.53
2022-07-27,13.59
2022-07-28,11.54
2022-07-29,11.76
2022-07-30,10.00
2022-07-31,11.34
2022-08-01,13.68
2022-08-02,9.78
2022-08-03,10.64
2022-08-04,11.46
2022-08-05,13.40
2022-08-06,13.27
2022-08-07,15.84
2022-08-08,16.35
2022-08-09,13.59
2022-08-10,12.50
2022-08-11,14.95
2022-08-12,18.52
2022-08-13,16.67
2022-08-14,17.12
2022-08-15,18.35
2022-08-16,18.02
2022-08-17,15.32
2022-08-18,13.76
2022-08-19,13.51
2022-08-20,11.01
2022-08-21,11.32
2022-08-22,12.75
2022-08-23,7.84
2022-08-24,7.84
2022-08-25,7.14
2022-08-26,8.25
2022-08-27,10.10
2022-08-28,11.46
2022-08-29,13.40
2022-08-30,14.43
2022-08-31,14.13
2022-09-01,14.29
2022-09-02,16.67
2022-09-03,12.09
2022-09-04,16.67
2022-09-05,20.43
2022-09-06,18.48
2022-09-07,19.35
2022-09-08,20.65
2022-09-09,21.98
2022-09-10,19.57
2022-09-11,16.85
2022-09-12,14.61
2022-09-13,14.44
2022-09-14,13.48
2022-09-15,17.05
2022-09-16,17.98
2022-09-17,14.94
2022-09-18,17.65
2022-09-19,18.60
2022-09-20,15.12
2022-09-21,18.07
2022-09-22,15.66
2022-09-23,13.41
2022-09-24,15.12
2022-09-25,12.79
2022-09-26,14.77
2022-09-27,15.56
2022-09-28,16.67
2022-09-29,16.30
2022-09-30,14.13
2022-10-01,12.90
2022-10-02,13.64
2022-10-03,13.19
2022-10-04,14.89
2022-10-05,17.78
2022-10-06,16.85
2022-10-07,13.64
2022-10-08,12.22
2022-10-09,9.09
2022-10-10,11.49
2022-10-11,14.12
2022-10-12,14.29
2022-10-13,16.67
2022-10-14,15.48
2022-10-15,14.46
2022-10-16,15.85
2022-10-17,15.85
2022-10-18,12.50
2022-10-19,15.38
2022-10-20,12.66
2022-10-21,8.00
2022-10-22,7.89
2022-10-23,11.69
2022-10-24,10.81
2022-10-25,13.33
2022-10-26,15.58
2022-10-27,13.92
2022-10-28,12.99
2022-10-29,15.79
2022-10-30,16.67
2022-10-31,14.63
2022-11-01,17.07
2022-11-02,14.29
2022-11-03,14.94
2022-11-04,17.24
2022-11-05,14.12
2022-11-06,14.12
2022-11-07,18.82
2022-11-08,20.93
2022-11-09,21.84
2022-11-10,20.45
2022-11-11,19.32
2022-11-12,21.11
2022-11-13,19.78
2022-11-14,15.73
2022-11-15,15.38
2022-11-16,14.29
2022-11-17,16.30
2022-11-18,17.58
2022-11-19,17.78
2022-11-20,17.05
2022-11-21,16.85
2022-11-22,15.38
2022-11-23,15.05
2022-11-24,14.74
2022-11-25,18.95
2022-11-26,15.05
2022-11-27,11.58
2022-11-28,11.96
2022-11-29,12.22
2022-11-30,13.19
2022-12-01,10.47
2022-12-02,14.44
2022-12-03,10.99
2022-12-04,8.99
2022-12-05,10.34
2022-12-06,11.36
2022-12-07,16.13
2022-12-08,15.79
2022-12-09,13.04
2022-12-10,12.22
2022-12-11,11.24
2022-12-12,11.63
2022-12-13,12.05
2022-12-14,14.46
2022-12-15,12.50
2022-12-16,10.98
2022-12-17,13.25
2022-12-18,16.09
2022-12-19,17.98
2022-12-20,12.50
2022-12-21,10.59
2022-12-22,11.90
2022-12-23,8.64
2022-12-24,7.32
2022-12-25,8.75
2022-12-26,8.00
2022-12-27,9.21
2022-12-28,8.22
2022-12-29,10.81
2022-12-30,10.96
2022-12-31,6.85
